会社名,代表者名,住所,電話番号,ホームページ,Instagram,業種,従業員数,営業優先度,営業理由,提案内容,採用ページ有無,メモ
株式会社キムラテック,松下光映,大阪府東大阪市本庄中1-2-15,072-968-3611,https://www.kimuratec.jp/,,精密金属部品製造,45名,S,採用サイト有・動画制作ニーズ高,採用動画・会社紹介動画・製造工程動画,有,弱電機器等の精密金属部品製造・採用に積極的
中辻金型工業株式会社,非公開,大阪府東大阪市長田西4-1-16,06-6746-0056,https://mono.ipros.com/company/detail/2045394/,,プレス金型・板金加工,18名,A,板金プレス溶接の総合対応,製造工程動画・会社紹介動画,無,金型設計製作からプレス加工まで一貫対応
株式会社椿製作所,山本鉄雄,大阪府東大阪市寿町3-8-7,06-6729-6026,https://tsubaki-seisakusyo.com/,,産業機械用精密部品,19名,A,創業70年の技術力・インテリア商品展開,会社紹介動画・製造工程動画・ホームページリニューアル,無,油圧機器部品・印刷機械部品の製造
株式会社青鋼,青木隆,大阪府東大阪市水走4-3-19,072-962-5516,https://seikou-eastosaka.com/,,レーザー加工・金属加工,30名,S,若手従業員多数・採用ニーズあり,採用動画・会社紹介動画・リクルートページ制作,無,20〜30代従業員多数・レーザー加工技術
冨士精密工業株式会社,竹見升吾,大阪府東大阪市金岡3-22-32,06-6721-1509,https://web-fuji.com/fuji-seimitsu/,,フォトエッチング加工,非公開,A,東大阪ブランド企業・技術PR,会社紹介動画・技術紹介動画,無,フォトエッチング加工・エレクトロフォーミング加工
都金属工業株式会社,非公開,大阪府東大阪市,非公開,https://careers.miyako-kinzoku.co.jp/,,金属加工,非公開,S,採用専用サイト有・採用注力,採用動画・リクルートページ改善・SNS運用,有,採用に注力している企業
株式会社谷金属製作所,谷好明,大阪府東大阪市西堤学園町1-3-14,06-6788-0864,https://www.tanikinzoku.co.jp/,,非鉄金属NC旋盤加工,13名,A,採用ページ有・アットホームな環境,採用動画・会社紹介動画・製造工程動画,有,NC旋盤による精密部品製造・配管継手専門
大和軽合金工業株式会社,非公開,大阪府東大阪市高井田西3-6-29,非公開,https://www.daiwakeigokin.co.jp/,,アルミダイカスト鋳造,非公開,A,シニア採用活発・技術PR,製造工程動画・採用動画,有,創業1930年・ダイカスト鋳造に強み
日本鍛造株式会社,非公開,大阪府東大阪市加納,非公開,https://www.nihon-tanzo.co.jp/,,金型製造・鍛造,非公開,A,採用活動・若手育成,採用動画・技術紹介動画,有,金型製造から鍛造まで
樋口精機株式会社,非公開,大阪府東大阪市池島町2-1-1,非公開,https://higuchi-seiki.com/,,溶接・パイプ曲げ加工,非公開,A,創業1955年・特許技術保有,技術紹介動画・会社紹介動画,無,パイプ曲げ加工に特化・特許取得
成瀬金属株式会社,成瀬剛史,大阪府東大阪市宝町8-38,072-982-0566,https://narusekinzoku.co.jp/,,金属加工全般,15名,A,創業1954年・多様な加工技術,製造工程動画・会社紹介動画,無,鉄・ステンレス等の各種金属加工
