会社名,代表者名,住所,電話番号,ホームページ,Instagram,業種,従業員数,営業優先度,営業理由,提案内容,採用ページ有無,メモ
株式会社曽我,眞浦宏治,大阪府東大阪市新庄西6-11,06-6744-9727,https://www.soga-e.co.jp/,,電気設備工事,非公開,S,HPシンプル・動画なし・社長直接アプローチ可,会社紹介動画・施工実績動画・ホームページリニューアル,無,総合電気設備工事・高圧受変電設備
株式会社東大阪設備サービス,谷春雄,大阪府東大阪市近江堂3-13-20,06-6725-1874,https://www.kensetumap.com/company/364155/,,電気工事・管工事,非公開,S,HPなし・建設マップのみ・発信弱い,ホームページ制作・会社紹介動画・施工実績動画・採用ページ制作,無,電気工事・管工事・照明設備工事
扶洋電気設備株式会社,石野道彦,大阪府東大阪市菱江5-15-15,072-962-1461,https://www.kensetumap.com/company/26198/,,電気工事・管工事,非公開,S,HPなし・建設マップのみ・動画なし,ホームページ制作・会社紹介動画・施工実績動画,無,国交大臣許可・電気工事・管工事
有限会社正勝電設,田中正勝,大阪府東大阪市上六万寺6-38,072-983-1223,https://www.masakatsu-densetsu.com/,,空調設備・電気設備工事,非公開,A,HP有・採用ページなし・SNS未運用,施工実績動画・採用ページ制作・SNS運用,無,空調設備工事・電気設備工事・ITV監視カメラ
株式会社山下電気工業,山下繁一,大阪府東大阪市西堤1-8-12,06-6746-3007,https://www.yamasita-e.co.jp/,,電気工事,10名,S,HPシンプル・動画なし・採用強化余地あり,会社紹介動画・施工実績動画・採用動画・ドローン撮影,無,一般電気工事・高圧受変電設備工事・太陽光発電
成瀬金属株式会社,成瀬剛史,大阪府東大阪市宝町8-38,072-982-0566,https://narusekinzoku.co.jp/,,金属加工・設備工事,15名,A,HP有・製造業だが設備関連可能,会社紹介動画・製造工程動画,無,金属加工技術（曲げ、絞り、溶接等）
株式会社K-TEC,非公開,大阪府東大阪市,非公開,https://k-tec1108.com/,,機械器具設置工事,非公開,S,機械メンテナンス専門・発信強化余地,施工実績動画・会社紹介動画・ドローン撮影,無,塗装設備の設計施工・据付・保守メンテナンス
株式会社DAI電気,太井大輔,大阪府八尾市曙町4-95,072-926-1130,https://dai-denki.net/,,電気設備・空調設備工事,非公開,A,HP有・採用ページ有・動画なし,施工実績動画・採用動画・Instagram運用,有,少数精鋭・電気設備・空調設備・EV充電設備
樽居設備株式会社,樽居賢治,大阪府八尾市渋川町6-1-5,072-926-9568,https://www.taruisetsubi.co.jp/,,給排水・衛生・空調設備,非公開,A,HP有・採用ページ有・動画なし,施工実績動画・採用動画・会社紹介動画,有,20年以上の実績・給排水・衛生・空調設備
株式会社森田設備工業,非公開,大阪府八尾市泉町3-7,非公開,非公開,,空調設備工事,4名,S,HP情報少ない・小規模・営業価値高,ホームページ制作・会社紹介動画・施工実績動画・採用ページ制作,無,冷暖房換気空調設備・業歴30年
有限会社山﨑機工製作所,非公開,大阪府八尾市,非公開,https://www.yamasakikikou.com/,,機械修理・メンテナンス,非公開,S,機械メンテナンス専門・発信強化可能,会社紹介動画・技術紹介動画・施工実績動画,無,工作機械オーバーホール・レトロフィット・NC更新
株式会社奥田工業,非公開,大阪府八尾市,072-975-5568,https://www.okuda-kk.com/,,機械器具設置工事,非公開,S,HPシンプル・動画なし・専門性高い,施工実績動画・会社紹介動画・ドローン撮影,無,機械器具設置・焼却場メンテナンス・鳶鍛冶工事
FA電機株式会社,非公開,大阪府八尾市福栄町1-37-4,非公開,https://fa-electric.co.jp/,,自動制御・機械電気修理,非公開,S,自動制御専門・発信強化余地大,技術紹介動画・会社紹介動画・施工実績動画,無,機械電気修理・リニューアル・自動機制御設計
有限会社ハンナエンジニアリング,只野康弘,大阪府八尾市南亀井町1-3-41,072-992-5873,http://www.hanna-engineering.com/,,計装工事・自動制御,10名,S,HPシンプル・動画なし・技術力高い,施工実績動画・会社紹介動画・技術紹介動画,無,空調自動制御・ビル計装工事・消防施設工事
